run,iteration,uc_set,uc_feedback,online_score,shot1,shot2,shot3,median3,mean3,cv3
长预算1,38,647.0,651.4041514041514,32.4761,32.6007,35.3381,32.3515,32.6007,33.4301,4.956813287825351
长预算1,46,651.0,655.6776556776557,33.17985,33.1822,33.5571,33.1775,33.1822,33.3056,0.6539983254608364
长预算1,8,656.0,660.5616605616606,32.980000000000004,32.951,33.009,33.1068,33.009,33.02226666666667,0.23845335682286914
长预算1,50,659.0,663.6141636141637,33.773250000000004,33.9007,33.6458,32.7279,33.6458,33.424800000000005,1.845466070580373
长预算1,30,662.0,666.6666666666666,33.24145,33.1823,33.555,33.3006,33.3006,33.34596666666667,0.5711234692935226
长预算1,57,665.0,669.7191697191697,33.9113,33.8393,33.9833,33.6082,33.8393,33.810266666666664,0.5596758984252308
长预算1,7,668.0,672.7716727716728,33.58585,33.3017,33.6361,33.5356,33.5356,33.49113333333333,0.5123069314903541
长预算1,61,671.0,675.8241758241758,32.78425,33.6276,32.6709,32.8976,32.8976,33.06536666666667,1.511938346799836
长预算1,27,674.0,678.8766788766789,33.76645,33.8067,33.4916,33.7262,33.7262,33.67483333333333,0.4861488482719121
长预算1,18,680.0,684.3711843711844,33.131,33.1795,33.0825,32.7163,33.0825,32.99276666666666,0.7404350819269615
长预算1,36,686.0,690.4761904761905,34.86735,34.6498,35.0849,35.5427,35.0849,35.09246666666667,1.2723474045759995
长预算1,11,693.0,697.8021978021978,34.595349999999996,35.0222,34.5696,34.6211,34.6211,34.737633333333335,0.7133001240135122
长预算1,39,699.0,702.6862026862027,34.902100000000004,35.1058,34.6984,34.1568,34.6984,34.65366666666667,1.37381950252699
长预算1,58,702.0,706.3492063492064,34.75265,34.9029,34.6024,33.9529,34.6024,34.486066666666666,1.4080085437285088
长预算1,10,706.0,710.6227106227107,35.0406,35.1253,34.9559,35.6359,35.1253,35.23903333333333,1.0045095446177297
长预算1,26,713.0,717.3382173382173,34.6858,34.8253,34.5463,34.0993,34.5463,34.4903,1.061821267042524
长预算1,41,717.0,721.6117216117216,35.377300000000005,35.5974,35.1572,36.1524,35.5974,35.63566666666667,1.3994471719839812
长预算1,13,721.0,725.2747252747253,34.78055,34.6922,34.8689,34.0964,34.6922,34.5525,1.1714185862597155
长预算1,55,725.0,729.5482295482295,35.3663,35.2976,35.435,35.9544,35.435,35.562333333333335,0.9741208705105457
长预算1,29,728.0,732.6007326007326,35.923249999999996,36.0224,35.8241,35.6156,35.8241,35.820699999999995,0.5678875945134715
长预算1,1,735.0,739.3162393162393,35.642849999999996,35.5835,35.0067,35.7022,35.5835,35.430800000000005,1.0500630424255781
长预算1,35,742.0,746.6422466422466,35.8955,35.7752,36.7785,36.0158,36.0158,36.18983333333333,1.4473730464250654
长预算1,48,746.0,750.3052503052503,36.47605,36.7155,36.2366,35.5356,36.2366,36.16256666666667,1.6409889226719911
长预算1,16,750.0,754.5787545787546,35.5148,34.512,35.5621,35.4675,35.4675,35.18053333333334,1.6511852482425011
长预算2,1,505.0,509.15750915750914,34.09225,34.0735,34.111,34.8553,34.111,34.3466,1.2838125143932448
长预算2,3,522.0,526.2515262515262,34.55535,34.5014,34.6093,30.9525,34.5014,33.3544,6.238475067757214
长预算2,17,535.0,539.072039072039,33.67445,33.4089,33.94,29.2957,33.4089,32.214866666666666,7.890707760378031
长预算2,53,537.0,540.9035409035409,30.1754,30.0781,30.2727,29.5761,30.0781,29.975633333333334,1.1990624445242635
长预算2,52,538.0,542.1245421245421,30.721649999999997,30.647,30.7963,34.5716,30.7963,32.00496666666666,6.948992854822753
长预算2,51,539.0,542.7350427350427,34.71625,30.5827,34.3131,35.1194,34.3131,33.3384,7.259852094550759
长预算2,43,540.0,543.9560439560439,35.004599999999996,30.1494,35.433,34.5762,34.5762,33.3862,8.493622634617518
长预算2,42,541.0,545.1770451770452,30.47125,30.2235,30.719,35.2444,30.719,32.0623,8.629741571425143
长预算2,41,542.0,545.7875457875458,34.959999999999994,31.0471,35.0862,34.8338,34.8338,33.655699999999996,6.72289108046435
长预算2,33,543.0,547.008547008547,30.139400000000002,30.2906,35.9322,29.9882,30.2906,32.07033333333334,10.439213875286601
长预算2,32,544.0,548.2295482295482,30.51105,30.4735,35.1412,30.5486,30.5486,32.05443333333333,8.34044400536028
长预算2,23,545.0,548.8400488400489,34.647400000000005,29.4899,34.546,34.7488,34.546,32.92823333333333,9.048192734245019
长预算2,21,546.0,550.0610500610501,34.5744,30.7866,34.5552,34.5936,34.5552,33.311800000000005,6.565155987335217
长预算2,2,547.0,550.6715506715507,30.6244,29.429,30.2812,30.9676,30.2812,30.225933333333334,2.5500865156607966
长预算2,22,548.0,551.8925518925519,34.223200000000006,33.6638,30.4803,34.7826,33.6638,32.97556666666667,6.769239683156377
长预算2,31,549.0,553.1135531135532,34.9345,34.9002,29.6801,34.9688,34.9002,33.183033333333334,9.142693875401863
